Name,Team,Position,Age,Height,Weight,College,Salary
Jaylen Brown,Boston Celtics,SG,24,6' 6",223 lbs,California,"$23,735,118 "
Carsen Edwards,Boston Celtics,PG,22,5' 11",200 lbs,Purdue,"$1,517,981 "
Tacko Fall,Boston Celtics,C,25,7' 5",311 lbs,UCF,--
Javonte Green,Boston Celtics,SG,27,6' 4",205 lbs,Radford,"$1,517,981 "
Amile Jefferson,Boston Celtics,PF,27,6' 9",222 lbs,Duke,--
Romeo Langford,Boston Celtics,SG,21,6' 4",216 lbs,Indiana,"$3,631,200 "
Yam Madar,Boston Celtics,PG,19,6' 3",180 lbs,--,--
Aaron Nesmith,Boston Celtics,SF,21,6' 6",215 lbs,Vanderbilt,"$3,458,400 "
Semi Ojeleye,Boston Celtics,PF,26,6' 6",240 lbs,SMU,"$1,752,950 "
Payton Pritchard,Boston Celtics,PG,22,6' 2",206 lbs,Oregon,"$2,193,480 "
Marcus Smart,Boston Celtics,PG,26,6' 3",220 lbs,Oklahoma State,"$13,446,428 "
Jayson Tatum,Boston Celtics,PF,22,6' 8",210 lbs,Duke,"$9,897,120 "
Jeff Teague,Boston Celtics,PG,32,6' 3",195 lbs,Wake Forest,"$1,620,564 "
Daniel Theis,Boston Celtics,C,28,6' 8",245 lbs,--,"$5,000,000 "
Tristan Thompson,Boston Celtics,C,29,6' 9",254 lbs,Texas,"$9,258,000 "
Kemba Walker,Boston Celtics,PG,30,6' 0",184 lbs,Connecticut,"$34,379,100 "
Tremont Waters,Boston Celtics,PG,22,5' 10",175 lbs,LSU,--
Grant Williams,Boston Celtics,PF,22,6' 6",236 lbs,Tennessee,"$2,498,760 "
Robert Williams III,Boston Celtics,C,23,6' 8",237 lbs,Texas A&M,"$2,029,920 "
Jarrett Allen,Brooklyn Nets,C,22,6' 11",243 lbs,Texas,"$3,909,902 "
Bruce Brown,Brooklyn Nets,SG,24,6' 4",202 lbs,Miami (FL),"$1,663,861 "
Chris Chiozza,Brooklyn Nets,PG,25,5' 11",176 lbs,Florida,--
Nicolas Claxton,Brooklyn Nets,PF,21,6' 11",215 lbs,Georgia,"$1,517,981 "
Spencer Dinwiddie,Brooklyn Nets,PG,27,6' 5",215 lbs,Colorado,"$11,454,048 "
Kevin Durant,Brooklyn Nets,SF,32,6' 10",240 lbs,Texas,"$40,108,950 "
Jeff Green,Brooklyn Nets,PF,34,6' 8",235 lbs,Georgetown,"$1,620,564 "
Joe Harris,Brooklyn Nets,SG,29,6' 6",220 lbs,Virginia,"$16,071,429 "
Kyrie Irving,Brooklyn Nets,PG,28,6' 2",195 lbs,Duke,"$31,742,000 "
Tyler Johnson,Brooklyn Nets,SG,28,6' 4",190 lbs,Fresno State,"$1,620,564 "
DeAndre Jordan,Brooklyn Nets,C,32,6' 11",265 lbs,Texas A&M,"$10,375,678 "
Rodions Kurucs,Brooklyn Nets,SF,22,6' 9",228 lbs,--,"$1,780,152 "
Caris LeVert,Brooklyn Nets,SG,26,6' 6",205 lbs,Michigan,"$16,203,704 "
Timothe Luwawu-Cabarrot,Brooklyn Nets,SG,25,6' 7",210 lbs,--,"$654,469 "
Jeremiah Martin,Brooklyn Nets,PG,24,6' 2",185 lbs,Memphis,--
Reggie Perry,Brooklyn Nets,F,20,6' 10",250 lbs,Mississippi State,--
Taurean Prince,Brooklyn Nets,PF,26,6' 7",218 lbs,Baylor,"$12,250,000 "
Landry Shamet,Brooklyn Nets,SG,23,6' 4",190 lbs,Wichita State,"$2,090,040 "
RJ Barrett,New York Knicks,SG,20,6' 7",214 lbs,Duke,"$8,231,760 "
Ignas Brazdeikis,New York Knicks,SF,21,6' 7",226 lbs,Michigan,"$1,517,981 "
Reggie Bullock,New York Knicks,SF,29,6' 7",205 lbs,North Carolina,"$4,200,000 "
Alec Burks,New York Knicks,SG,29,6' 6",240 lbs,Colorado,"$6,000,000 "
Jared Harper,New York Knicks,PG,23,5' 10",175 lbs,Auburn,--
Michael Kidd-Gilchrist,New York Knicks,SF,27,6' 6",230 lbs,Kentucky,--
Kevin Knox II,New York Knicks,SF,21,6' 8",218 lbs,Kentucky,"$4,588,680 "
Nerlens Noel,New York Knicks,C,26,6' 10",220 lbs,Kentucky,"$5,000,000 "
Frank Ntilikina,New York Knicks,PG,22,6' 5",197 lbs,--,"$6,176,578 "
Elfrid Payton,New York Knicks,PG,26,6' 3",195 lbs,Louisiana-Lafayette,"$5,000,000 "
Theo Pinson,New York Knicks,SG,25,6' 5",210 lbs,North Carolina,"$1,445,697 "
Myles Powell,New York Knicks,SG,23,6' 2",195 lbs,Seton Hall,--
Immanuel Quickley,New York Knicks,SG,21,6' 3",188 lbs,Kentucky,"$2,105,520 "
Julius Randle,New York Knicks,PF,26,6' 9",255 lbs,Kentucky,"$18,900,000 "
Austin Rivers,New York Knicks,PG,28,6' 3",200 lbs,Duke,"$3,500,000 "
Mitchell Robinson,New York Knicks,C,22,7' 0",240 lbs,Western Kentucky,"$1,663,861 "
Dennis Smith Jr.,New York Knicks,PG,23,6' 3",205 lbs,North Carolina State,"$5,686,677 "
Omari Spellman,New York Knicks,PF,23,6' 8",245 lbs,Villanova,"$1,988,280 "
Obi Toppin,New York Knicks,PF,22,6' 9",240 lbs,Dayton,"$4,862,040 "
Justin Anderson,Philadelphia 76Ers,SG,27,6' 5",231 lbs,Virginia,--
Tony Bradley,Philadelphia 76Ers,C,22,6' 10",248 lbs,North Carolina,"$3,542,060 "
Ryan Broekhoff,Philadelphia 76Ers,SG,30,6' 6",215 lbs,Valparaiso,--
Seth Curry,Philadelphia 76Ers,SG,30,6' 2",185 lbs,Duke,"$7,834,449 "
Joel Embiid,Philadelphia 76Ers,C,26,7' 0",280 lbs,Kansas,"$29,542,010 "
Terrance Ferguson,Philadelphia 76Ers,SF,22,6' 6",190 lbs,--,"$3,944,013 "
Danny Green,Philadelphia 76Ers,SG,33,6' 6",215 lbs,North Carolina,"$15,365,853 "
Tobias Harris,Philadelphia 76Ers,SF,28,6' 8",226 lbs,Tennessee,"$34,358,850 "
Dwight Howard,Philadelphia 76Ers,C,35,6' 10",265 lbs,--,"$1,620,564 "
Isaiah Joe,Philadelphia 76Ers,G,21,6' 5",180 lbs,Arkansas,"$898,310 "
Furkan Korkmaz,Philadelphia 76Ers,SG,23,6' 7",202 lbs,--,"$1,762,796 "
Dakota Mathias,Philadelphia 76Ers,SG,25,6' 4",200 lbs,Purdue,--
Tyrese Maxey,Philadelphia 76Ers,PG,20,6' 3",200 lbs,Kentucky,"$2,478,840 "
Shake Milton,Philadelphia 76Ers,SG,24,6' 5",205 lbs,SMU,"$1,701,593 "
Kyle O'Quinn,Philadelphia 76Ers,C,30,6' 9",250 lbs,Norfolk State,--
Vincent Poirier,Philadelphia 76Ers,C,27,7' 0",235 lbs,--,"$2,619,207 "
Paul Reed,Philadelphia 76Ers,F,21,6' 9",210 lbs,DePaul,--
Mike Scott,Philadelphia 76Ers,PF,32,6' 7",237 lbs,Virginia,"$5,005,350 "
Ben Simmons,Philadelphia 76Ers,PG,24,6' 10",240 lbs,LSU,"$30,559,200 "
Matisse Thybulle,Philadelphia 76Ers,SG,23,6' 5",201 lbs,Washington,"$2,711,280 "
Derrick Walton Jr.,Philadelphia 76Ers,PG,25,6' 0",185 lbs,Michigan,--
OG Anunoby,Toronto Raptors,SF,23,6' 8",232 lbs,Indiana,"$3,872,215 "
Aron Baynes,Toronto Raptors,C,34,6' 10",260 lbs,Washington State,"$7,000,000 "
DeAndre' Bembry,Toronto Raptors,SF,26,6' 5",210 lbs,Saint Joseph's,"$1,737,145 "
Chris Boucher,Toronto Raptors,PF,27,6' 10",200 lbs,Oregon,"$6,750,000 "
Oshae Brissett,Toronto Raptors,SF,22,6' 8",210 lbs,Syracuse,"$1,445,697 "
Terence Davis II,Toronto Raptors,SG,23,6' 4",205 lbs,Ole Miss,"$1,517,981 "
Henry Ellenson,Toronto Raptors,C,23,6' 10",240 lbs,Marquette,--
Malachi Flynn,Toronto Raptors,PG,22,6' 1",185 lbs,San Diego State,"$1,950,600 "
Jalen Harris,Toronto Raptors,G,22,6' 5",195 lbs,Nevada,--
Alize Johnson,Toronto Raptors,PF,24,6' 9",212 lbs,Missouri State,--
Stanley Johnson,Toronto Raptors,SF,24,6' 7",245 lbs,Arizona,"$3,804,150 "
Alex Len,Toronto Raptors,C,27,7' 0",250 lbs,Maryland,"$2,258,000 "
Kyle Lowry,Toronto Raptors,PG,34,6' 1",196 lbs,Villanova,"$30,500,000 "
Patrick McCaw,Toronto Raptors,SF,25,6' 7",185 lbs,UNLV,"$4,000,000 "
Norman Powell,Toronto Raptors,SG,27,6' 4",215 lbs,UCLA,"$10,865,952 "
Pascal Siakam,Toronto Raptors,PF,26,6' 9",230 lbs,New Mexico State,"$30,559,200 "
Matt Thomas,Toronto Raptors,SG,26,6' 4",190 lbs,Iowa State,"$1,517,981 "
Fred VanVleet,Toronto Raptors,SG,26,6' 0",195 lbs,Wichita State,"$21,250,000 "
Yuta Watanabe,Toronto Raptors,SF,26,6' 9",205 lbs,George Washington,--
Paul Watson,Toronto Raptors,SG,25,6' 6",210 lbs,Fresno State,--
Ryan Arcidiacono,Chicago Bulls,PG,26,6' 3",195 lbs,Villanova,"$3,000,000 "
Wendell Carter Jr.,Chicago Bulls,C,21,6' 9",270 lbs,Duke,"$5,448,840 "
Devon Dotson,Chicago Bulls,PG,21,6' 2",179 lbs,Kansas,--
Cristiano Felicio,Chicago Bulls,PF,28,6' 10",270 lbs,--,"$7,529,020 "
Daniel Gafford,Chicago Bulls,PF,22,6' 10",234 lbs,Arkansas,"$1,517,981 "
Chandler Hutchison,Chicago Bulls,SF,24,6' 7",210 lbs,Boise State,"$2,443,440 "
Luke Kornet,Chicago Bulls,C,25,7' 2",250 lbs,Vanderbilt,"$2,250,000 "
Zach LaVine,Chicago Bulls,SG,25,6' 6",200 lbs,UCLA,"$19,500,000 "
Lauri Markkanen,Chicago Bulls,PF,23,7' 0",240 lbs,Arizona,"$6,731,508 "
Adam Mokoka,Chicago Bulls,SG,22,6' 5",190 lbs,--,--
Zach Norvell Jr.,Chicago Bulls,SG,23,6' 5",205 lbs,Gonzaga,--
Otto Porter Jr.,Chicago Bulls,SF,27,6' 8",198 lbs,Georgetown,"$28,489,237 "
Tomas Satoransky,Chicago Bulls,SG,29,6' 7",210 lbs,--,"$10,000,000 "
Simi Shittu,Chicago Bulls,C,21,6' 10",240 lbs,Vanderbilt,--
Garrett Temple,Chicago Bulls,SG,34,6' 5",195 lbs,LSU,"$4,767,000 "
Denzel Valentine,Chicago Bulls,SG,27,6' 4",220 lbs,Michigan State,"$4,642,800 "
Noah Vonleh,Chicago Bulls,PF,25,6' 10",257 lbs,Indiana,--
Coby White,Chicago Bulls,PG,20,6' 4",195 lbs,North Carolina,"$5,572,680 "
Patrick Williams,Chicago Bulls,SF,19,6' 8",225 lbs,Florida State,"$7,068,360 "
Thaddeus Young,Chicago Bulls,PF,32,6' 8",235 lbs,Georgia Tech,"$13,545,000 "
Marques Bolden,Cleveland Cavaliers,C,22,6' 11",250 lbs,Duke,--
Matthew Dellavedova,Cleveland Cavaliers,PG,30,6' 3",200 lbs,Saint Mary's,"$1,620,564 "
Damyean Dotson,Cleveland Cavaliers,SG,26,6' 5",205 lbs,Houston,"$2,000,000 "
Andre Drummond,Cleveland Cavaliers,C,27,6' 11",279 lbs,Connecticut,"$28,751,775 "
Dante Exum,Cleveland Cavaliers,PG,25,6' 5",214 lbs,--,"$9,600,000 "
Darius Garland,Cleveland Cavaliers,PG,20,6' 1",192 lbs,Vanderbilt,"$6,720,720 "
Kevin Love,Cleveland Cavaliers,PF,32,6' 8",247 lbs,UCLA,"$31,258,256 "
Thon Maker,Cleveland Cavaliers,C,23,7' 0",221 lbs,--,--
Charles Matthews,Cleveland Cavaliers,G,24,6' 6",205 lbs,Michigan,--
JaVale McGee,Cleveland Cavaliers,C,32,7' 0",270 lbs,Nevada,"$4,200,000 "
Matt Mooney,Cleveland Cavaliers,SG,23,6' 3",200 lbs,Texas Tech,--
Larry Nance Jr.,Cleveland Cavaliers,PF,27,6' 7",245 lbs,Wyoming,"$11,709,091 "
Isaac Okoro,Cleveland Cavaliers,SG,19,6' 5",225 lbs,Auburn,"$6,400,920 "
Cedi Osman,Cleveland Cavaliers,SF,25,6' 7",230 lbs,--,"$8,840,580 "
Kevin Porter Jr.,Cleveland Cavaliers,SG,20,6' 4",203 lbs,USC,"$1,717,981 "
Levi Randolph,Cleveland Cavaliers,SG,28,6' 5",208 lbs,Alabama,--
Collin Sexton,Cleveland Cavaliers,PG,21,6' 1",192 lbs,Alabama,"$4,991,880 "
Lamar Stevens,Cleveland Cavaliers,PF,23,6' 8",225 lbs,Penn State,--
Dean Wade,Cleveland Cavaliers,PF,24,6' 9",219 lbs,Kansas State,"$1,517,981 "
Dylan Windler,Cleveland Cavaliers,SG,24,6' 6",199 lbs,Belmont,"$2,137,440 "
LiAngelo Ball,Detroit Pistons,SG,22,6' 5",230 lbs,UCLA,--
Saddiq Bey,Detroit Pistons,SG,21,6' 8",216 lbs,Villanova,"$2,689,920 "
Sekou Doumbouya,Detroit Pistons,SF,19,6' 8",230 lbs,--,"$3,449,400 "
Wayne Ellington,Detroit Pistons,SG,33,6' 4",207 lbs,North Carolina,"$1,620,564 "
Jerami Grant,Detroit Pistons,PF,26,6' 8",210 lbs,Syracuse,"$19,050,000 "
Blake Griffin,Detroit Pistons,PF,31,6' 9",250 lbs,Oklahoma,"$36,810,996 "
Killian Hayes,Detroit Pistons,PG,19,6' 5",192 lbs,--,"$5,307,120 "
Josh Jackson,Detroit Pistons,SG,23,6' 8",207 lbs,Kansas,"$4,767,000 "
Louis King,Detroit Pistons,SF,21,6' 7",205 lbs,Oregon,--
Anthony Lamb,Detroit Pistons,SF,22,6' 6",225 lbs,Vermont,--
Saben Lee,Detroit Pistons,PG,21,6' 2",183 lbs,Vanderbilt,--
Rodney McGruder,Detroit Pistons,SG,29,6' 4",205 lbs,Kansas State,"$5,192,307 "
Dzanan Musa,Detroit Pistons,SG,21,6' 9",217 lbs,--,"$2,002,800 "
Sviatoslav Mykhailiuk,Detroit Pistons,SG,23,6' 7",205 lbs,Kansas,"$1,663,861 "
Jahlil Okafor,Detroit Pistons,C,24,6' 10",270 lbs,Duke,"$1,882,867 "
Mason Plumlee,Detroit Pistons,PF,30,6' 11",254 lbs,Duke,"$8,000,000 "
Derrick Rose,Detroit Pistons,PG,32,6' 2",200 lbs,Memphis,"$7,682,927 "
Deividas Sirvydis,Detroit Pistons,SF,20,6' 8",190 lbs,--,"$898,310 "
Isaiah Stewart,Detroit Pistons,C,19,6' 9",250 lbs,Washington,"$3,121,080 "
Delon Wright,Detroit Pistons,PG,28,6' 5",185 lbs,Utah,"$9,000,000 "
Goga Bitadze,Indiana Pacers,C,21,6' 11",250 lbs,--,"$2,957,520 "
Brian Bowen II,Indiana Pacers,SG,22,6' 6",190 lbs,--,--
Amida Brimah,Indiana Pacers,C,26,6' 10",230 lbs,Connecticut,--
Malcolm Brogdon,Indiana Pacers,PG,28,6' 5",229 lbs,Virginia,"$20,700,000 "
Rayshaun Hammonds,Indiana Pacers,SF,22,6' 7",235 lbs,Georgia,--
Aaron Holiday,Indiana Pacers,PG,24,6' 0",185 lbs,UCLA,"$2,345,640 "
Justin Holiday,Indiana Pacers,SF,31,6' 6",180 lbs,Washington,"$5,720,000 "
Jeremy Lamb,Indiana Pacers,SG,28,6' 5",180 lbs,Connecticut,"$10,500,000 "
Jalen Lecque,Indiana Pacers,PG,20,6' 4",185 lbs,--,"$1,517,981 "
Kelan Martin,Indiana Pacers,SF,25,6' 5",230 lbs,Butler,--
T.J. McConnell,Indiana Pacers,PG,28,6' 1",190 lbs,Arizona,"$3,500,000 "
Doug McDermott,Indiana Pacers,SF,28,6' 7",225 lbs,Creighton,"$7,333,333 "
Naz Mitrou-Long,Indiana Pacers,SG,27,6' 3",218 lbs,Iowa State,--
Victor Oladipo,Indiana Pacers,SG,28,6' 4",213 lbs,Indiana,"$21,000,000 "
Domantas Sabonis,Indiana Pacers,PF,24,6' 11",240 lbs,Gonzaga,"$19,800,000 "
JaKarr Sampson,Indiana Pacers,SF,27,6' 7",214 lbs,St. John's,"$1,620,564 "
Cassius Stanley,Indiana Pacers,SG,21,6' 6",195 lbs,Duke,--
Edmond Sumner,Indiana Pacers,PG,24,6' 4",196 lbs,Xavier,"$2,160,000 "
Myles Turner,Indiana Pacers,C,24,6' 11",250 lbs,Texas,"$18,000,000 "
T.J. Warren,Indiana Pacers,SF,27,6' 8",220 lbs,North Carolina State,"$12,500,000 "
Jaylen Adams,Milwaukee Bucks,PG,24,6' 2",190 lbs,St. Bonaventure,"$1,416,852 "
Giannis Antetokounmpo,Milwaukee Bucks,PF,26,6' 11",242 lbs,--,"$27,528,090 "
Thanasis Antetokounmpo,Milwaukee Bucks,SF,28,6' 6",219 lbs,--,"$1,701,593 "
D.J. Augustin,Milwaukee Bucks,PG,33,5' 11",183 lbs,Texas,"$6,666,667 "
Pat Connaughton,Milwaukee Bucks,SG,27,6' 5",209 lbs,Notre Dame,"$4,938,272 "
Torrey Craig,Milwaukee Bucks,SF,29,6' 7",221 lbs,USC Upstate,"$1,620,564 "
Donte DiVincenzo,Milwaukee Bucks,SG,23,6' 4",203 lbs,Villanova,"$3,044,160 "
Mamadi Diakite,Milwaukee Bucks,PF,23,6' 9",228 lbs,Virginia,--
Bryn Forbes,Milwaukee Bucks,SG,27,6' 2",205 lbs,Michigan State,"$2,337,145 "
