Rk,Player,Position,Age,Team,Games,Minutes played per game,Field Goal Percentage,Points per game
1,¨¢lex Abrines,SG,25,OKC,31,19,0.357,5.3
2,Quincy Acy,PF,28,PHO,10,12.3,0.222,1.7
3,Jaylen Adams,PG,22,ATL,34,12.6,0.345,3.2
4,Steven Adams,C,25,OKC,80,33.4,0.595,13.9
5,Bam Adebayo,C,21,MIA,82,23.3,0.576,8.9
6,Deng Adel,SF,21,CLE,19,10.2,0.306,1.7
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,3.1,0.3,1
8,LaMarcus Aldridge,C,33,SAS,81,33.2,0.519,21.3
9,Rawle Alkins,SG,21,CHI,10,12,0.333,3.7
10,Grayson Allen,SG,23,UTA,38,10.9,0.376,5.6
11,Jarrett Allen,C,20,BRK,80,26.2,0.59,10.9
12,Kadeem Allen,PG,26,NYK,19,21.9,0.461,9.9
13,Al-Farouq Aminu,PF,28,POR,81,28.3,0.433,9.4
14,Justin Anderson,SF,25,ATL,48,9.6,0.408,3.7
15,Kyle Anderson,SF,25,MEM,43,29.8,0.543,8
16,Ryan Anderson,PF,30,TOT,25,12.9,0.304,2.5
17,Ike Anigbogu,C,20,IND,3,2,0,0
18,Giannis Antetokounmpo,PF,24,MIL,72,32.8,0.578,27.7
19,Kostas Antetokounmpo,PF,21,DAL,2,5.5,0,1
20,Carmelo Anthony,PF,34,HOU,10,29.4,0.405,13.4
21,OG Anunoby,SF,21,TOR,67,20.2,0.453,7
22,Ryan Arcidiacono,PG,24,CHI,81,24.2,0.447,6.7
23,Trevor Ariza,SF,33,TOT,69,34,0.399,12.5
24,D.J. Augustin,PG,31,ORL,81,28,0.47,11.7
25,Deandre Ayton,C,20,PHO,71,30.7,0.585,16.3
26,Dwayne Bacon,SG,23,CHO,43,17.7,0.475,7.3
27,Marvin Bagley III,PF,19,SAC,62,25.3,0.504,14.9
28,Ron Baker,SG,25,TOT,15,10.1,0.2,0.9
29,Wade Baldwin,PG,22,POR,16,5.9,0.303,1.9
30,Lonzo Ball,PG,21,LAL,47,30.3,0.406,9.9
31,Mo Bamba,C,20,ORL,47,16.3,0.481,6.2
32,J.J. Barea,PG,34,DAL,38,19.8,0.418,10.9
33,Harrison Barnes,PF-SF,26,TOT,77,32.9,0.42,16.4
34,Will Barton,SF,28,DEN,43,27.7,0.402,11.5
35,Keita Bates-Diop,SF,23,MIN,30,16.8,0.423,5
36,Nicolas Batum,SF,30,CHO,75,31.4,0.45,9.3
37,Jerryd Bayless,PG,30,MIN,34,19.3,0.357,6.1
38,Aron Baynes,C,32,BOS,51,16.1,0.471,5.6
39,Kent Bazemore,SG,29,ATL,67,24.5,0.402,11.6
40,Bradley Beal,SG,25,WAS,82,36.9,0.475,25.6
41,Malik Beasley,SG,22,DEN,81,23.2,0.474,11.3
42,Michael Beasley,PF,30,LAL,26,10.7,0.49,7
43,Marco Belinelli,SG,32,SAS,79,23,0.413,10.5
44,Jordan Bell,C,24,GSW,68,11.6,0.516,3.3
45,DeAndre' Bembry,SG,24,ATL,82,23.5,0.446,8.4
46,Dragan Bender,PF,21,PHO,46,18,0.447,5
47,Dairis Bert¨¡ns,SG,29,NOP,12,13.9,0.255,2.8
48,D¨¡vis Bert¨¡ns,PF,26,SAS,76,21.5,0.45,8
49,Patrick Beverley,PG,30,LAC,78,27.4,0.407,7.6
50,Khem Birch,C,26,ORL,50,12.9,0.603,4.8
51,Bismack Biyombo,C,26,CHO,54,14.5,0.571,4.4
52,Nemanja Bjelica,PF,30,SAC,77,23.2,0.479,9.6
53,Antonio Blakeney,SG,22,CHI,57,14.5,0.419,7.3
54,Eric Bledsoe,PG,29,MIL,78,29.1,0.484,15.9
55,Jaron Blossomgame,SF,25,CLE,27,16.3,0.443,4.2
56,Bogdan Bogdanovi?,SG,26,SAC,70,27.8,0.418,14.1
57,Bojan Bogdanovi?,SF,29,IND,81,31.8,0.497,18
58,Andrew Bogut,C,34,GSW,11,12.2,0.5,3.5
59,Jonah Bolden,PF,23,PHI,44,14.5,0.494,4.7
60,Isaac Bonga,PG,19,LAL,22,5.5,0.152,0.9
61,Devin Booker,SG,22,PHO,64,35,0.467,26.6
62,Chris Boucher,PF,26,TOR,28,5.8,0.447,3.3
63,Avery Bradley,SG,28,TOT,63,30.2,0.408,9.9
64,Tony Bradley,C,21,UTA,3,12,0.5,5.7
65,Corey Brewer,SF,32,TOT,31,15.9,0.431,4.9
66,Mikal Bridges,SF,22,PHO,82,29.5,0.43,8.3
67,Miles Bridges,SF,20,CHO,80,21.2,0.464,7.5
68,Isaiah Briscoe,PG,22,ORL,39,14.3,0.399,3.5
69,Ryan Broekhoff,SG,28,DAL,42,10.8,0.452,4
70,Malcolm Brogdon,SG,26,MIL,64,28.6,0.505,15.6
71,Dillon Brooks,SF,23,MEM,18,18.3,0.402,7.5
72,MarShon Brooks,SG,30,MEM,29,13.3,0.45,6.6
73,Bruce Brown,SG,22,DET,74,19.6,0.398,4.3
74,Jaylen Brown,SG,22,BOS,74,25.9,0.465,13
75,Lorenzo Brown,PG,28,TOR,26,8.2,0.324,2.1
76,Sterling Brown,SG,23,MIL,58,17.8,0.465,6.4
77,Troy Brown Jr.,SF,19,WAS,52,14,0.415,4.8
78,Jalen Brunson,PG,22,DAL,73,21.8,0.467,9.3
79,Thomas Bryant,C,21,WAS,72,20.8,0.616,10.5
80,Reggie Bullock,SG,27,TOT,63,29.8,0.412,11.3
81,Trey Burke,PG,26,TOT,58,19.4,0.431,10.9
82,Alec Burks,SG,27,TOT,64,21.5,0.405,8.8
83,Deonte Burton,SG,25,OKC,32,7.5,0.402,2.6
84,Jimmy Butler,SF-SG,29,TOT,65,33.6,0.462,18.7
85,Bruno Caboclo,PF,23,MEM,34,23.5,0.427,8.3
86,Jos¨¦ Calder¨®n,PG,37,DET,49,12.9,0.375,2.3
87,Kentavious Caldwell-Pope,SG,25,LAL,82,24.8,0.43,11.4
88,Isaiah Canaan,PG,27,TOT,30,21,0.39,6
89,Clint Capela,C,24,HOU,67,33.6,0.648,16.6
90,DeMarre Carroll,PF,32,BRK,67,25.4,0.395,11.1
91,Jevon Carter,PG,23,MEM,39,14.8,0.303,4.4
92,Vince Carter,PF,42,ATL,76,17.5,0.419,7.4
93,Wendell Carter Jr.,C,19,CHI,44,25.2,0.485,10.3
94,Michael Carter-Williams,PG,27,TOT,28,13.3,0.374,4.8
95,Alex Caruso,PG,24,LAL,25,21.2,0.445,9.2
96,Omri Casspi,SF,30,MEM,36,14.4,0.534,6.3
97,Willie Cauley-Stein,C,25,SAC,81,27.3,0.556,11.9
98,Troy Caupain,PG,23,ORL,4,4,0.5,2.5
99,Tyler Cavanaugh,PF,24,UTA,11,3.5,0.3,0.8
100,Tyson Chandler,C,36,TOT,55,15.9,0.616,3.1
101,Wilson Chandler,PF-SF,31,TOT,51,23.1,0.418,6
102,Joe Chealey,PG,23,CHO,1,8,0.333,2
103,Chris Chiozza,PG,23,HOU,7,4.7,0.25,0.9
104,Marquese Chriss,PF,21,TOT,43,11.6,0.372,4.2
105,Gary Clark,PF,24,HOU,51,12.6,0.331,2.9
106,Ian Clark,SG,27,NOP,60,16.2,0.394,6.7
107,Jordan Clarkson,SG,26,CLE,81,27.3,0.448,16.8
108,John Collins,PF,21,ATL,61,30,0.56,19.5
109,Zach Collins,C,21,POR,77,17.6,0.473,6.6
110,Darren Collison,PG,31,IND,76,28.2,0.467,11.2
111,Bonzie Colson,SF,23,MIL,8,12.3,0.333,4.9
112,Mike Conley,PG,31,MEM,70,33.5,0.438,21.1
113,Pat Connaughton,SG,26,MIL,61,20.7,0.466,6.9
114,Quinn Cook,PG,25,GSW,74,14.3,0.465,6.9
115,DeMarcus Cousins,C,28,GSW,30,25.7,0.48,16.3
116,Robert Covington,SF,28,TOT,35,34.4,0.431,13.3
117,Allen Crabbe,SG,26,BRK,43,26.3,0.367,9.6
118,Torrey Craig,SF,28,DEN,75,20,0.442,5.7
119,Jamal Crawford,SG,38,PHO,64,18.9,0.397,7.9
120,Mitch Creek,SF,26,TOT,5,9.6,0.5,4.2
121,Jae Crowder,SF,28,UTA,80,27.1,0.399,11.9
122,Dante Cunningham,PF,31,SAS,64,14.5,0.475,3
123,Seth Curry,SG,28,POR,74,18.9,0.456,7.9
124,Stephen Curry,PG,30,GSW,69,33.8,0.472,27.3
125,Troy Daniels,SG,27,PHO,51,14.9,0.411,6.2
126,Anthony Davis,C,25,NOP,56,33,0.517,25.9
127,Deyonta Davis,C,22,ATL,9,13.1,0.682,4
